XM_063338610.1	Chroicocephalus ridibundus
XM_063338609.1	Chroicocephalus ridibundus
XM_063337062.1	Chroicocephalus ridibundus
XM_063334901.1	Chroicocephalus ridibundus
XM_063333341.1	Chroicocephalus ridibundus
XM_063332555.1	Chroicocephalus ridibundus
XM_063332376.1	Chroicocephalus ridibundus
XM_063332375.1	Chroicocephalus ridibundus
XM_063332374.1	Chroicocephalus ridibundus
XM_063332372.1	Chroicocephalus ridibundus
XM_063332371.1	Chroicocephalus ridibundus
XM_063332370.1	Chroicocephalus ridibundus
XM_063332369.1	Chroicocephalus ridibundus
XR_010070241.1	Chroicocephalus ridibundus
XM_063328548.1	Chroicocephalus ridibundus
XM_063318480.1	Chroicocephalus ridibundus
XM_063324046.1	Chroicocephalus ridibundus
XM_063355697.1	Chroicocephalus ridibundus
XM_063352194.1	Chroicocephalus ridibundus
XM_063352193.1	Chroicocephalus ridibundus
XM_063352192.1	Chroicocephalus ridibundus
XM_063352052.1	Chroicocephalus ridibundus
XR_010073284.1	Chroicocephalus ridibundus
XM_063352051.1	Chroicocephalus ridibundus
XR_010073283.1	Chroicocephalus ridibundus
XR_010073282.1	Chroicocephalus ridibundus
XM_063322903.1	Chroicocephalus ridibundus
XM_063322902.1	Chroicocephalus ridibundus
XM_063322698.1	Chroicocephalus ridibundus
XM_063350351.1	Chroicocephalus ridibundus
XM_063350343.1	Chroicocephalus ridibundus
XM_063350335.1	Chroicocephalus ridibundus
XM_063350327.1	Chroicocephalus ridibundus
XM_063350319.1	Chroicocephalus ridibundus
XM_063344543.1	Chroicocephalus ridibundus
XM_063058352.1	Mobula hypostoma
XM_063057593.1	Mobula hypostoma
XM_063055716.1	Mobula hypostoma
XM_063050524.1	Mobula hypostoma
XM_063050522.1	Mobula hypostoma
XM_063050521.1	Mobula hypostoma
XM_063050520.1	Mobula hypostoma
XM_063049762.1	Mobula hypostoma
XR_010018076.1	Mobula hypostoma
XM_063049232.1	Mobula hypostoma
XM_063049231.1	Mobula hypostoma
XM_063049230.1	Mobula hypostoma
XM_063044889.1	Mobula hypostoma
XM_063044888.1	Mobula hypostoma
XM_063044887.1	Mobula hypostoma
XM_063044886.1	Mobula hypostoma
XM_063044885.1	Mobula hypostoma
XM_063044884.1	Mobula hypostoma
XM_063044883.1	Mobula hypostoma
XM_063033880.1	Mobula hypostoma
XM_063032976.1	Mobula hypostoma
XM_063031807.1	Mobula hypostoma
XM_063031806.1	Mobula hypostoma
XM_063030712.1	Mobula hypostoma
XM_063030685.1	Mobula hypostoma
XM_063067300.1	Mobula hypostoma
XM_063067294.1	Mobula hypostoma
XM_063061758.1	Mobula hypostoma
XM_063059870.1	Mobula hypostoma
XM_063042276.1	Mobula hypostoma
XM_063040152.1	Mobula hypostoma
XM_063039714.1	Mobula hypostoma
XM_063039713.1	Mobula hypostoma
XM_063039712.1	Mobula hypostoma
XM_063205818.1	Engraulis encrasicolus
XM_063204905.1	Engraulis encrasicolus
XM_063204467.1	Engraulis encrasicolus
XM_063204101.1	Engraulis encrasicolus
XM_063202961.1	Engraulis encrasicolus
XM_063199209.1	Engraulis encrasicolus
XM_063196830.1	Engraulis encrasicolus
XM_063196513.1	Engraulis encrasicolus
XM_063221826.1	Engraulis encrasicolus
XM_063221818.1	Engraulis encrasicolus
XM_063189544.1	Engraulis encrasicolus
XM_063185577.1	Engraulis encrasicolus
XM_063201511.1	Engraulis encrasicolus
XM_063223995.1	Engraulis encrasicolus
XM_063217917.1	Engraulis encrasicolus
XM_063217422.1	Engraulis encrasicolus
XM_063217046.1	Engraulis encrasicolus
XM_063216592.1	Engraulis encrasicolus
XM_063214616.1	Engraulis encrasicolus
XM_063209109.1	Engraulis encrasicolus
PP326858.1	Clupeonella abrau
PP326857.1	Clupeonella abrau
LC799148.1	Argyropelecus hemigymnus
LC799147.1	Sternoptyx diaphana
LC799143.1	Sigmops gracilis
LC799142.1	Maurolicus japonicus
LC799141.1	Cyclothone atraria
LC799140.1	Cyclothone pallida
LC799139.1	Cyclothone obscura
LC799138.1	Cyclothone pallida
LC799137.1	Cyclothone pallida
LC799136.1	Cyclothone pallida
LC799135.1	Cyclothone pseudopallida
AF153559.1	Scelotes mirus
AF153558.1	Trachylepis quinquetaeniata
AF153557.1	Eutropis macularia
AF153556.1	Trachylepis elegans
AF153555.1	Trachylepis dumasi
AF153554.1	Trachylepis affinis
OQ308868.1	Milyeringa justitia
OP837792.1	Suruga fundicola
OP837791.1	Suruga fundicola
OP837790.1	Suruga fundicola
OP837789.1	Suruga fundicola
OP837788.1	Amblychaeturichthys hexanema
OP837787.1	Amblychaeturichthys hexanema
OP837786.1	Amblychaeturichthys hexanema
LC797026.1	Scopelarchus michaelsarsi
